2020-12-11 20:51:28.931590 | router.telematik. | BINDING SOCKET
2020-12-11 20:51:28.932591 | router.telematik. | WAITING FOR MSGS
2020-12-11 20:52:58.185948 | router.telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 20:53:03.201144 | router.telematik. | Sending answer 127.0.0.17 for news.router.telematik. to ('127.0.0.10', 53053)
2020-12-11 20:56:39.442083 | router.telematik. | BINDING SOCKET
2020-12-11 20:56:39.442083 | router.telematik. | WAITING FOR MSGS
2020-12-11 20:57:57.457005 | router.telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 20:58:02.458343 | router.telematik. | Sending answer 127.0.0.17 for news.router.telematik. to ('127.0.0.10', 53053)
2020-12-11 20:59:52.786648 | router.telematik. | BINDING SOCKET
2020-12-11 20:59:52.786648 | router.telematik. | WAITING FOR MSGS
2020-12-11 21:01:21.031068 | router.telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 21:01:26.039255 | router.telematik. | Sending answer 127.0.0.17 for news.router.telematik. to ('127.0.0.10', 53053)
2020-12-11 21:03:13.661580 | router.telematik. | BINDING SOCKET
2020-12-11 21:03:13.662581 | router.telematik. | WAITING FOR MSGS
2020-12-11 21:03:25.346316 | router.telematik. | BINDING SOCKET
2020-12-11 21:03:25.347318 | router.telematik. | WAITING FOR MSGS
2020-12-11 21:04:54.026223 | router.telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 21:04:59.037579 | router.telematik. | Sending answer 127.0.0.17 for news.router.telematik. to ('127.0.0.10', 53053)
