2020-12-11 20:51:28.924584 | telematik. | BINDING SOCKET
2020-12-11 20:51:28.926586 | telematik. | WAITING FOR MSGS
2020-12-11 20:52:48.158766 | telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 20:52:53.175325 | telematik. | Sending answer 127.0.0.16 for router.telematik. to ('127.0.0.10', 53053)
2020-12-11 20:56:39.438080 | telematik. | BINDING SOCKET
2020-12-11 20:56:39.439080 | telematik. | WAITING FOR MSGS
2020-12-11 20:59:52.780643 | telematik. | BINDING SOCKET
2020-12-11 20:59:52.780643 | telematik. | WAITING FOR MSGS
2020-12-11 21:01:11.013901 | telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 21:01:16.022406 | telematik. | Sending answer 127.0.0.16 for router.telematik. to ('127.0.0.10', 53053)
2020-12-11 21:03:13.667586 | telematik. | BINDING SOCKET
2020-12-11 21:03:13.667586 | telematik. | WAITING FOR MSGS
2020-12-11 21:03:25.346316 | telematik. | BINDING SOCKET
2020-12-11 21:03:25.347318 | telematik. | WAITING FOR MSGS
2020-12-11 21:04:44.004875 | telematik. | Request received for name news.router.telematik. from ('127.0.0.10', 53053)
2020-12-11 21:04:49.014695 | telematik. | Sending answer 127.0.0.16 for router.telematik. to ('127.0.0.10', 53053)
